stid,timestamp,lat,lon,alt
CEN1,2021-06-12 18:00:00,77.181783,-61.11583,1888.8
CEN2,2023-10-01 00:00:00,77.18194,-61.115707,1894.7
CP1,2023-10-01 00:00:00,69.87162,-47.041818,1945.9
DY2,2023-10-01 00:00:00,66.482453,-46.294145,2122.8
EGP,2023-10-01 00:00:00,75.627301,-35.96906,2665.4
FRE,2023-10-01 00:00:00,74.388024,-20.833115,683.4
HUM,2023-10-01 00:00:00,78.528979,-56.844797,1969.7
JAR,2023-01-26 16:00:00,69.492103,-49.72078,907.7
JAR_O,2023-10-01 00:00:00,69.494457,-49.671906,926.5
KAN_B,2023-10-01 00:00:00,67.1252,-50.1832,350.0
KAN_L,2023-10-01 00:00:00,67.093495,-49.967447,631.0
KAN_Lv3,2023-10-01 00:00:00,67.105029,-49.930791,684.3
KAN_M,2023-10-01 00:00:00,67.068154,-48.85182,1270.8
KAN_U,2023-10-01 00:00:00,67.000769,-47.034399,1834.2
KPC_L,2023-10-01 00:00:00,79.910788,-24.080614,360.8
KPC_Lv3,2023-01-08 16:00:00,79.913878,-24.093317,373.4
KPC_U,2023-10-01 00:00:00,79.835105,-25.161694,865.5
KPC_Uv3,2023-01-20 11:00:00,79.834922,-25.162375,866.0
LYN_L,2023-10-01 00:00:00,69.318934,-53.543714,539.7
LYN_T,2023-10-01 00:00:00,69.30427,-53.5902,940.7
MIT,2023-09-01 21:00:00,65.691955,-37.829808,430.2
NAE,2023-10-01 00:00:00,75.002539,-29.979546,2625.7
NAU,2023-10-01 00:00:00,73.840593,-49.534263,2337.7
NEM,2023-10-01 00:00:00,77.441441,-51.08396,2453.1
NSE,2023-10-01 00:00:00,66.477548,-42.49313,2387.8
NUK_K,2023-10-01 00:00:00,64.162283,-51.358688,701.6
NUK_L,2023-10-01 00:00:00,64.484141,-49.552952,490.2
NUK_N,2014-07-25 11:00:00,64.9452,-49.885,920.0
NUK_U,2023-08-05 20:00:00,64.509097,-49.283506,1115.0
NUK_Uv3,2023-10-01 00:00:00,64.509106,-49.285065,1116.8
QAS_A,2015-08-24 17:00:00,61.243,-46.7328,1000.0
QAS_L,2023-09-30 23:00:00,61.030437,-46.849768,235.1
QAS_Lv3,2023-10-01 00:00:00,61.030653,-46.849476,239.2
QAS_M,2022-12-01 00:00:00,61.109911,-46.808667,678.0
QAS_Mv3,2023-10-01 00:00:00,61.109921,-46.808347,675.8
QAS_U,2023-08-31 15:00:00,61.172265,-46.822545,885.1
QAS_Uv3,2023-10-01 00:00:00,61.172281,-46.822474,883.8
Roof_GEUS,2023-10-01 00:00:00,55.688532,12.582203,28.1
Roof_PROMICE,2023-09-06 08:00:00,67.105041,49.93069,683.5
SCO_L,2023-10-01 00:00:00,72.222341,-26.818122,455.08
SCO_U,2023-10-01 00:00:00,72.394047,-27.252486,976.00
SDL,2023-10-01 00:00:00,66.000152,-44.502641,2471.9
SDM,2023-10-01 00:00:00,63.148903,-44.817393,2895.8
SWC,2023-02-14 20:00:00,69.552457,-49.37591,1120.0
SWC_O,2023-10-01 00:00:00,69.594616,-49.281959,1160.8
TAS_A,2023-10-01 00:00:00,65.774454,-38.890786,880.1
TAS_L,2023-10-01 00:00:00,65.639206,-38.899173,231.5
TAS_U,2015-08-13 14:00:00,65.6978,-38.8668,570.0
THU_L,2023-10-01 00:00:00,76.399845,-68.267492,560.9
THU_L2,2023-10-01 00:00:00,76.393028,-68.265196,572.1
THU_U,2022-09-27 09:00:00,76.39303,-68.265081,571.8
THU_U2,2023-08-15 17:00:00,76.390204,-68.110534,745.1
TUN,2023-10-01 00:00:00,78.019255,-33.961597,2078.3
UPE_L,2023-10-01 00:00:00,72.893383,-54.295785,199.0
UPE_U,2023-10-01 00:00:00,72.885235,-53.617318,910.7
UWN,2023-10-01 01:00:00,61.685832,7.198126,553.2
WEG_B,2023-10-01 00:00:00,71.141458,-51.222053,16.0
WEG_L,2023-10-01 02:00:00,71.204996,-51.098259,933.6
ZAK_A,2023-05-09 10:00:00,74.647558,-21.652047,1484.8
ZAK_L,2023-05-23 13:00:00,74.709218,-30.679934,685.7
ZAK_Lv3,2023-10-01 00:00:00,74.624113,-21.374374,628.1
ZAK_U,2022-05-31 09:00:00,74.624099,-21.374481,630.4
ZAK_Uv3,2023-10-01 00:00:00,74.64328,-21.461509,860.8
