time,alb_CEN2,lat_CEN2,lon_CEN2,cloud_CEN2
2021-08-13,0.8101,77.181918,-61.115465,0.2341
2021-08-14,0.9035,77.181916,-61.115468,0.9046
2021-08-15,0.8972,77.181915,-61.115467,0.8916
2021-08-16,0.9031,77.181914,-61.115468,0.9104
2021-08-17,0.8862,77.181909,-61.115465,0.8152
2021-08-18,0.9189,77.181908,-61.115452,0.7729
2021-08-19,0.8066,77.181907,-61.115461,0.4539
2021-08-20,0.7682,77.181907,-61.115453,0.4826
2021-08-21,0.8162,77.181906,-61.115449,0.9487
2021-08-23,0.9176,77.181907,-61.115451,0.9943
2021-08-27,0.9828,77.181903,-61.115451,0.9509
2021-08-28,0.7646,77.181905,-61.115455,0.9042
2021-08-29,0.7963,77.181904,-61.115459,0.7534
2021-08-30,0.895,77.181905,-61.115462,0.5922
2021-08-31,0.8414,77.181902,-61.115451,0.4903
2021-09-01,0.889,77.181903,-61.115454,0.8108
2021-09-02,0.853,77.181905,-61.115457,0.2723
2021-09-03,0.87,77.181902,-61.115472,0.8334
2021-09-04,0.9593,77.181905,-61.115464,0.8988
2022-05-26,0.8272,77.181891,-61.115537,0.2128
2022-05-27,0.8585,77.181885,-61.115553,0.5919
2022-05-28,0.8657,77.181886,-61.115555,0.7495
2022-05-29,0.8357,77.181885,-61.115551,0.378
2022-05-30,0.8449,77.181889,-61.115559,0.6308
2022-05-31,0.8046,77.181886,-61.115554,0.2362
2022-06-01,0.8205,77.181887,-61.115561,0.2425
2022-06-02,0.8449,77.181886,-61.115552,0.603
2022-06-03,0.8593,77.181886,-61.11556,0.7938
2022-06-04,0.8187,77.181888,-61.115553,0.4813
2022-06-05,0.8183,77.181888,-61.115561,0.2112
2022-06-06,0.8349,77.181887,-61.115556,0.3427
2022-06-07,0.8421,77.181885,-61.11556,0.7103
2022-06-08,0.8719,77.181887,-61.115565,0.8634
2022-06-09,0.8627,77.181888,-61.115562,0.7414
2022-06-10,0.855,77.181886,-61.115568,0.5493
2022-06-11,0.8277,77.181889,-61.115568,0.3375
2022-06-12,0.8029,77.181886,-61.115564,0.1864
2022-06-13,0.8177,77.181885,-61.115563,0.4871
2022-06-14,0.8445,77.181886,-61.115565,0.6713
2022-06-15,0.828,77.181883,-61.115559,0.4493
2022-06-16,0.825,77.181888,-61.115573,0.4261
2022-06-17,0.8083,77.181888,-61.115574,0.1498
2022-06-18,0.8077,77.181953,-61.115511,0.3572
2022-06-19,0.8574,77.181943,-61.115504,0.9171
2022-06-20,0.8617,77.18194,-61.115485,0.5908
2022-06-21,0.8236,77.181946,-61.115492,0.4548
2022-06-22,0.845,77.181949,-61.11549,0.5002
2022-06-23,0.8021,77.181947,-61.115501,0.1388
2022-06-24,0.8067,77.181952,-61.115508,0.1833
2022-06-25,0.823,77.181954,-61.115523,0.3133
2022-06-26,0.8381,77.181957,-61.115523,0.5694
2022-06-27,0.7974,77.181952,-61.115512,0.3324
2022-06-28,0.8007,77.181958,-61.115531,0.1244
2022-06-29,0.8049,77.181956,-61.115507,0.1554
2022-06-30,0.8203,77.181959,-61.115486,0.8849
2022-07-01,0.8117,77.181959,-61.115519,0.4832
2022-07-02,0.8494,77.181957,-61.115533,0.5269
2022-07-03,0.8888,77.181952,-61.115491,0.9426
2022-07-04,0.8254,77.181949,-61.115507,0.4737
2022-07-05,0.815,77.181944,-61.11551,0.1797
2022-07-06,0.8138,77.181956,-61.115507,0.4174
2022-07-07,0.8152,77.181945,-61.115498,0.3573
2022-07-08,0.8299,77.181945,-61.11551,0.483
2022-07-09,0.8213,77.181956,-61.115503,0.4431
2022-07-10,0.818,77.18195,-61.115484,0.4295
2022-07-11,0.8282,77.181958,-61.115506,0.3947
2022-07-12,0.8404,77.181952,-61.115501,0.3888
2022-07-13,0.9093,77.181956,-61.115528,0.9597
2022-07-14,0.8639,77.181953,-61.115525,0.7694
2022-07-15,0.866,77.181952,-61.115494,0.6989
2022-07-16,0.8139,77.181953,-61.115541,0.6542
2022-07-17,0.7995,77.181954,-61.115521,0.1221
2022-07-18,0.8036,77.181946,-61.1155,0.1612
2022-07-19,0.8027,77.18195,-61.115505,0.2506
2022-07-20,0.8897,77.18195,-61.115517,0.8372
2022-07-21,0.8587,77.18195,-61.11551,0.7392
2022-07-22,0.8715,77.181953,-61.115515,0.9002
2022-07-23,0.8727,77.181954,-61.115528,0.8828
2022-07-24,0.8313,77.181955,-61.115509,0.5285
2022-07-25,0.8103,77.181955,-61.1155,0.2775
2022-07-26,0.81,77.181959,-61.115538,0.2198
2022-07-27,0.8127,77.181953,-61.115532,0.3096
2022-07-28,0.8001,77.181957,-61.115538,0.2315
2022-07-29,0.8291,77.181952,-61.115528,0.4249
2022-07-30,0.8368,77.181953,-61.115519,0.5342
2022-07-31,0.8145,77.181961,-61.115528,0.2351
2022-08-01,0.8144,77.181946,-61.115535,0.3828
2022-08-02,0.803,77.181944,-61.115502,0.2419
2022-08-03,0.8189,77.18195,-61.115514,0.285
2022-08-04,0.8034,77.181949,-61.115528,0.2064
2022-08-05,0.862,77.181957,-61.115541,0.7744
2022-08-06,0.7809,77.181955,-61.115502,0.2852
2022-08-07,0.8005,77.181957,-61.115541,0.2945
2022-08-08,0.6627,77.18196,-61.115526,0.4462
2022-08-09,0.8137,77.181959,-61.115518,0.3328
2022-08-10,0.8877,77.181962,-61.115536,0.9454
2022-08-11,0.9078,77.181956,-61.115508,0.9467
2022-08-12,0.9344,77.181964,-61.115544,0.9372
2022-08-13,0.9376,77.181969,-61.115541,0.8704
2022-08-14,0.8624,77.181959,-61.115534,0.6942
2022-08-15,0.8678,77.181962,-61.115524,0.764
2022-08-16,0.8392,77.181945,-61.115502,0.4004
2022-08-17,0.8753,77.18195,-61.115538,0.801
2022-08-18,0.9363,77.181949,-61.115514,0.8572
2022-08-19,0.8024,77.181942,-61.11551,0.4316
2022-08-20,0.8234,77.181948,-61.115508,0.2236
2022-08-21,0.8529,77.181954,-61.115526,0.7008
2022-08-22,0.8876,77.181952,-61.115548,0.5063
2022-08-23,0.8281,77.181949,-61.115535,0.4882
2022-08-24,0.9114,77.181955,-61.115515,0.7863
2022-08-25,0.8695,77.181953,-61.115534,0.2454
2022-08-26,0.7232,77.181959,-61.115539,0.5409
2022-08-27,0.7878,77.181953,-61.115545,0.4527
2022-08-28,0.8878,77.18196,-61.115537,0.76
2022-08-29,0.8334,77.18196,-61.115544,0.6504
2022-08-30,0.6381,77.181964,-61.115517,0.6516
2022-08-31,0.8849,77.181956,-61.115532,0.9688
2023-06-29,0.764,77.181955,-61.115686,0.0835
2023-06-30,0.8072,77.181935,-61.115663,0.226
2023-07-01,0.8296,77.181938,-61.11568,0.4133
2023-07-02,0.8364,77.18194,-61.115655,0.3563
2023-07-03,0.8145,77.181937,-61.115675,0.0862
2023-07-04,0.8214,77.18194,-61.11566,0.1561
2023-07-05,0.8521,77.18194,-61.115686,0.669
2023-07-06,0.8887,77.181939,-61.115673,0.7572
2023-07-07,0.8783,77.181934,-61.115663,0.7742
2023-07-08,0.847,77.181935,-61.115663,0.8788
2023-07-09,0.8342,77.181941,-61.115688,0.557
2023-07-10,0.8549,77.181942,-61.115677,0.8157
2023-07-11,0.8718,77.181937,-61.115659,0.9281
2023-07-12,0.8558,77.181936,-61.115685,0.7549
2023-07-13,0.816,77.181944,-61.115663,0.1978
2023-07-14,0.7723,77.181939,-61.115693,0.2369
2023-07-15,0.8241,77.181942,-61.115687,0.3568
2023-07-16,0.8513,77.181946,-61.115681,0.4412
2023-07-17,0.8183,77.181937,-61.115669,0.2814
2023-07-18,0.8129,77.181942,-61.115681,0.187
2023-07-19,0.7822,77.18194,-61.115699,0.3054
2023-07-20,0.7406,77.181947,-61.11568,0.4486
2023-07-21,0.7593,77.181936,-61.11569,0.2588
2023-07-22,0.7743,77.181946,-61.115699,0.8705
2023-07-23,0.6837,77.181945,-61.115682,0.6802
2023-07-24,0.7756,77.181949,-61.115696,0.5574
2023-07-25,0.7666,77.181946,-61.115688,0.2364
2023-07-26,0.7966,77.18194,-61.115682,0.1934
2023-07-27,0.8058,77.181938,-61.115671,0.3509
2023-07-28,0.8065,77.181936,-61.115696,0.3672
2023-07-29,0.8081,77.181939,-61.11567,0.4061
2023-07-30,0.8108,77.181933,-61.115668,0.667
2023-07-31,0.9014,77.181934,-61.115685,0.9318
2023-08-01,0.9028,77.181934,-61.115694,0.9607
2023-08-02,0.9068,77.181932,-61.11567,0.9612
2023-08-03,0.8905,77.181942,-61.115693,0.9353
2023-08-04,0.856,77.181935,-61.115683,0.9245
2023-08-05,0.9326,77.18194,-61.115699,0.9626
2023-08-06,0.8983,77.181946,-61.115701,0.9368
2023-08-07,0.9627,77.181953,-61.115674,0.9338
2023-08-08,0.9197,77.181953,-61.115692,0.9204
2023-08-09,0.8095,77.181938,-61.11569,0.243
2023-08-10,0.85,77.181933,-61.115678,0.5548
2023-08-11,0.8671,77.18194,-61.115695,0.9322
2023-08-12,0.8674,77.181931,-61.115686,0.9099
2023-08-13,0.8564,77.181946,-61.115706,0.8707
2023-08-14,0.7848,77.181944,-61.115695,0.8736
2023-08-15,0.8078,77.181952,-61.115663,0.3678
2023-08-16,0.8502,77.181953,-61.115696,0.4573
2023-08-17,0.8277,77.181945,-61.115699,0.3946
2023-08-18,0.8277,77.181938,-61.115689,0.2251
2023-08-19,0.8119,77.181932,-61.115706,0.3118
2023-08-20,0.8889,77.181939,-61.1157,0.915
2023-08-21,0.902,77.181941,-61.115674,0.9524
2023-08-22,0.8683,77.181946,-61.115712,0.9825
2023-08-23,0.8638,77.181955,-61.115745,0.9989
2023-08-24,0.8681,77.181946,-61.115704,0.9396
2023-08-25,0.8474,77.181943,-61.115676,0.8441
2023-08-26,0.8425,77.181944,-61.115704,0.7542
2023-08-27,0.8428,77.181941,-61.115683,0.6404
2023-08-28,0.847,77.18194,-61.115678,0.6502
2023-08-29,0.9995,77.181946,-61.115704,0.6082
