time,alb_JAR,lat_JAR,lon_JAR,cloud_JAR
2021-05-26,0.7287,69.492476,-49.718335,0.5598
2021-05-27,0.7144,69.492472,-49.718349,0.1423
2021-05-28,0.7066,69.492475,-49.718351,0.0667
2021-05-29,0.7163,69.492471,-49.718355,0.1785
2021-05-30,0.71,69.492469,-49.718369,0.0547
2021-05-31,0.765,69.49247,-49.718358,0.8166
2021-06-01,0.7784,69.492467,-49.718366,0.4053
2021-06-02,0.7599,69.492468,-49.718374,0.069
2021-06-03,0.7446,69.492468,-49.718381,0.0563
2021-06-04,0.7355,69.492467,-49.718384,0.2208
2021-06-05,0.7135,69.492463,-49.718394,0.0493
2021-06-06,0.7252,69.492462,-49.71839,0.1812
2021-06-07,0.7079,69.492464,-49.718396,0.0311
2021-06-08,0.7081,69.492463,-49.718405,0.0615
2021-06-09,0.7102,69.492463,-49.718406,0.0367
2021-06-10,0.718,69.492461,-49.718406,0.2693
2021-06-11,0.7515,69.492465,-49.718413,0.7442
2021-06-12,0.7258,69.492461,-49.718414,0.5537
2021-06-13,0.7375,69.492459,-49.718418,0.7532
2021-06-14,0.7127,69.49246,-49.718428,0.4751
2021-06-15,0.7078,69.492457,-49.718427,0.1147
2021-06-16,0.734,69.492456,-49.718437,0.6614
2021-06-17,0.785,69.492456,-49.718441,0.4881
2021-06-18,0.7382,69.492454,-49.718441,0.0447
2021-06-19,0.7245,69.492456,-49.718446,0.0699
2021-06-20,0.7747,69.492455,-49.718452,0.5799
2021-06-21,0.8052,69.492453,-49.71846,0.5837
2021-06-22,0.7433,69.492454,-49.718463,0.0456
2021-06-23,0.7559,69.492451,-49.718463,0.3868
2021-06-24,0.6991,69.49245,-49.718468,0.1721
2021-06-25,0.8307,69.492451,-49.718474,0.757
2021-06-26,0.8135,69.492453,-49.718475,0.6774
2021-06-27,0.7416,69.492451,-49.718484,0.4442
2021-06-28,0.7747,69.492448,-49.718487,0.8799
2021-06-29,0.8834,69.492449,-49.71849,0.9596
2021-06-30,0.9106,69.492447,-49.718496,0.9106
2021-07-01,0.825,69.492449,-49.718496,0.4307
2021-07-02,0.7647,69.492447,-49.718504,0.2851
2021-07-03,0.7781,69.492447,-49.718513,0.8071
2021-07-04,0.811,69.492446,-49.718511,0.9901
2021-07-05,0.8775,69.492446,-49.718518,0.9664
2021-07-06,0.8248,69.492443,-49.718526,0.7085
2022-06-16,0.7307,69.483333,-49.716667,0.0
2022-06-17,0.8291,69.483333,-49.716667,0.6186
2022-06-18,0.8941,69.483333,-49.716667,0.8002
2022-06-19,0.8025,69.483333,-49.716667,0.1291
2022-06-20,0.7649,69.483333,-49.716667,0.1834
2022-06-21,0.8698,69.483333,-49.716667,0.9089
2022-06-22,0.8752,69.483333,-49.716667,0.8994
2022-06-23,0.8954,69.483333,-49.716667,0.9221
2022-06-24,0.8748,69.483333,-49.716667,0.7745
2022-06-25,0.7555,69.483333,-49.716667,0.2146
2022-06-26,0.7574,69.483333,-49.716667,0.3221
2022-06-27,0.7093,69.483333,-49.716667,0.2385
2022-06-28,0.6965,69.483333,-49.716667,0.0609
2022-06-29,0.7404,69.483333,-49.716667,0.608
2022-06-30,0.7571,69.483333,-49.716667,0.7928
2022-07-01,0.6988,69.483333,-49.716667,0.2449
2022-07-02,0.7495,69.483333,-49.716667,0.8895
2022-07-03,0.6895,69.483333,-49.716667,0.1475
2022-07-04,0.6838,69.483333,-49.716667,0.0243
2022-07-05,0.7094,69.483333,-49.716667,0.3114
2022-07-06,0.7028,69.483333,-49.716667,0.2602
2022-07-07,0.7144,69.483333,-49.716667,0.78
2022-07-08,0.698,69.483333,-49.716667,0.5285
2022-07-09,0.6747,69.483333,-49.716667,0.0916
2022-07-10,0.681,69.483333,-49.716667,0.1336
2022-07-11,0.6986,69.483333,-49.716667,0.3985
2022-07-12,0.7342,69.483333,-49.716667,0.7361
2022-07-13,0.6687,69.483333,-49.716667,0.5612
2022-07-14,0.65,69.483333,-49.716667,0.1489
2022-07-15,0.587,69.483333,-49.716667,0.1682
2022-07-16,0.5415,69.483333,-49.716667,0.2063
2022-07-17,0.5132,69.483333,-49.716667,0.1451
2022-07-18,0.4791,69.483333,-49.716667,0.1658
2022-07-19,0.468,69.483333,-49.716667,0.6194
2022-07-20,0.4176,69.483333,-49.716667,0.4513
2022-07-21,0.3348,69.483333,-49.716667,0.8772
2022-07-22,0.3459,69.483333,-49.716667,0.9142
2022-07-23,0.34,69.483333,-49.716667,0.999
2022-07-24,0.399,69.483333,-49.716667,0.6948
2022-07-25,0.4771,69.483333,-49.716667,0.3678
2022-07-26,0.4802,69.483333,-49.716667,0.7388
2022-07-27,0.4638,69.483333,-49.716667,0.9063
2022-07-28,0.5096,69.483333,-49.716667,0.1374
2022-07-29,0.4984,69.483333,-49.716667,0.09
2022-07-30,0.4356,69.483333,-49.716667,0.8454
2022-07-31,0.3705,69.483333,-49.716667,0.3493
2022-08-01,0.3759,69.483333,-49.716667,0.1677
2022-08-02,0.4175,69.483333,-49.716667,0.4764
2022-08-03,0.4328,69.484015,-49.716929,0.4033
2022-08-04,0.3108,69.492201,-49.720086,0.9418
2022-08-05,0.3418,69.492201,-49.720099,0.9224
2022-08-06,0.3806,69.492198,-49.720109,0.6599
2022-08-07,0.4209,69.4922,-49.720106,0.3293
2022-08-08,0.4929,69.492196,-49.720108,0.7287
2022-08-09,0.9058,69.492196,-49.72011,0.9984
2022-08-10,0.8788,69.492195,-49.720114,0.9705
2022-08-11,0.7992,69.492195,-49.720116,0.9318
2022-08-12,0.7369,69.492192,-49.720123,0.704
2022-08-13,0.7058,69.492196,-49.720131,0.2959
2022-08-14,0.7307,69.492194,-49.72013,0.4871
2022-08-15,0.4911,69.492196,-49.720134,0.6607
2022-08-16,0.3823,69.492191,-49.720136,0.8266
2022-08-17,0.937,69.492191,-49.720138,0.9872
2022-08-18,0.8853,69.492192,-49.720148,0.9288
2022-08-19,0.754,69.49219,-49.720155,0.5224
2022-08-20,0.7642,69.492191,-49.72016,0.5102
2022-08-21,0.8353,69.492192,-49.720164,0.6475
2022-08-22,0.8196,69.492186,-49.720161,0.6663
2022-08-23,0.4543,69.492185,-49.720171,0.9929
2022-08-24,0.5998,69.492187,-49.720167,0.5091
2022-08-25,0.5306,69.492185,-49.720174,0.5442
2022-08-26,0.6262,69.492185,-49.72018,0.6568
2022-08-27,0.5629,69.492189,-49.720195,0.3613
2022-08-28,0.5718,69.492185,-49.720198,0.1099
2022-08-29,0.3971,69.492186,-49.720195,0.4455
2022-08-30,0.3016,69.492188,-49.720193,0.1576
2022-08-31,0.6686,69.492183,-49.720199,0.8153
2022-09-01,0.78,69.49218,-49.720199,0.531
2022-09-02,0.3076,69.492181,-49.720206,0.9848
2022-09-03,0.2926,69.49218,-49.720215,0.8628
2022-09-04,0.3435,69.492181,-49.72022,0.4052
2022-09-05,0.2977,69.492176,-49.720218,0.9289
2022-09-06,0.6079,69.492178,-49.720219,0.9603
2022-09-07,0.8796,69.492175,-49.720231,0.9603
2022-09-08,0.7491,69.492178,-49.720235,0.8784
2022-09-09,0.3984,69.492175,-49.720241,0.964
2022-09-10,0.3,69.492174,-49.720237,0.7776
2022-09-11,0.6895,69.492175,-49.720246,0.9921
2022-09-12,0.8295,69.492177,-49.720236,0.9857
2022-09-13,0.7332,69.492178,-49.720251,0.8672
2022-09-14,0.6731,69.492172,-49.72026,0.9117
2022-09-15,0.5725,69.492174,-49.720261,0.9895
2022-09-16,0.5471,69.492172,-49.720263,0.4356
2022-09-17,0.4402,69.492176,-49.720281,0.6338
2022-09-18,0.3083,69.492178,-49.720291,0.8874
