time,alb_JAR_O,lat_JAR_O,lon_JAR_O,cloud_JAR_O
2023-05-01,0.7025,69.494585,-49.671177,0.1012
2023-05-02,0.702,69.494585,-49.67119,0.1005
2023-05-03,0.7908,69.494586,-49.671192,0.6713
2023-05-04,0.8255,69.494585,-49.671186,0.9531
2023-05-05,0.7623,69.494585,-49.671195,0.6541
2023-05-06,0.7903,69.494582,-49.671196,0.7951
2023-05-07,0.7503,69.494584,-49.671203,0.6015
2023-05-08,0.7406,69.494581,-49.671211,0.3698
2023-05-09,0.8107,69.494577,-49.671213,0.9583
2023-05-10,0.7488,69.494584,-49.671235,0.6068
2023-05-11,0.8033,69.494577,-49.671219,0.7861
2023-05-12,0.8631,69.49458,-49.671228,0.9865
2023-05-13,0.8183,69.494577,-49.671232,0.932
2023-05-14,0.7507,69.494574,-49.671239,0.4566
2023-05-15,0.7356,69.494574,-49.671247,0.2454
2023-05-16,0.7255,69.494573,-49.671245,0.2812
2023-05-17,0.7467,69.494575,-49.671245,0.5923
2023-05-18,0.7539,69.494574,-49.671255,0.5737
2023-05-19,0.7498,69.494573,-49.671258,0.5667
2023-05-20,0.7996,69.494574,-49.671266,0.9476
2023-05-21,0.7833,69.494575,-49.671277,0.8986
2023-05-22,0.7359,69.494571,-49.671274,0.3176
2023-05-23,0.8373,69.494572,-49.671281,0.9025
2023-05-24,0.7338,69.494572,-49.671285,0.4825
2023-05-25,0.7212,69.494571,-49.671286,0.1874
2023-05-26,0.7895,69.49457,-49.671286,0.7166
2023-05-27,0.8272,69.49457,-49.671298,0.9391
2023-05-28,0.7468,69.494569,-49.671302,0.5148
2023-05-29,0.7556,69.494568,-49.671307,0.3698
2023-05-30,0.8295,69.494569,-49.671313,0.9379
2023-05-31,0.7741,69.494563,-49.671309,0.9461
2023-06-01,0.7922,69.494562,-49.671308,0.8941
2023-06-02,0.8291,69.494561,-49.671325,0.9721
2023-06-03,0.8381,69.494564,-49.671333,0.944
2023-06-04,0.8084,69.494567,-49.671337,0.77
2023-06-05,0.8227,69.49456,-49.671344,0.881
2023-06-06,0.8143,69.494559,-49.671344,0.9022
2023-06-07,0.8314,69.494562,-49.671353,0.977
2023-06-08,0.6717,69.494559,-49.671358,0.5889
2023-06-09,0.744,69.494559,-49.671359,0.4036
2023-06-10,0.8535,69.494557,-49.671353,0.9768
2023-06-11,0.8221,69.494559,-49.671369,0.9225
2023-06-12,0.8427,69.494553,-49.67136,0.8996
2023-06-13,0.756,69.494554,-49.671382,0.6415
2023-06-14,0.7162,69.494552,-49.671389,0.3405
2023-06-15,0.7102,69.494554,-49.671398,0.2872
2023-06-16,0.7937,69.494553,-49.671397,0.8993
2023-06-17,0.8019,69.494552,-49.6714,0.8755
2023-06-18,0.7366,69.494549,-49.671404,0.453
2023-06-19,0.7538,69.494547,-49.671398,0.5635
2023-06-20,0.7166,69.494552,-49.671405,0.8332
2023-06-21,0.812,69.494547,-49.67141,0.9503
2023-06-22,0.7763,69.494546,-49.671409,0.8776
2023-06-23,0.7248,69.494547,-49.671418,0.4959
2023-06-24,0.6723,69.494547,-49.671425,0.3086
2023-06-25,0.6579,69.494548,-49.671433,0.4947
2023-06-26,0.6344,69.494547,-49.671434,0.3175
2023-06-27,0.7362,69.494539,-49.671428,0.7478
2023-06-28,0.6621,69.494541,-49.671442,0.6352
2023-06-29,0.6739,69.494544,-49.671449,0.7267
2023-06-30,0.7334,69.49454,-49.671448,0.8443
2023-07-01,0.71,69.494541,-49.671453,0.7145
2023-07-02,0.6427,69.494543,-49.671457,0.1585
2023-07-03,0.6424,69.49454,-49.671463,0.3615
2023-07-04,0.7129,69.494534,-49.671455,0.9956
2023-07-05,0.6991,69.494534,-49.671459,0.9082
2023-07-06,0.6983,69.494534,-49.671468,0.9622
2023-07-07,0.7219,69.494525,-49.67146,1.0
2023-07-08,0.6291,69.494527,-49.671475,0.7758
2023-07-09,0.6164,69.494532,-49.67149,0.6963
2023-07-10,0.6483,69.494531,-49.671496,0.952
2023-07-11,0.679,69.49453,-49.671494,0.927
2023-07-12,0.5987,69.494525,-49.671505,0.4675
2023-07-13,0.5999,69.49453,-49.67152,0.3572
2023-07-14,0.6636,69.494527,-49.671523,0.977
2023-07-15,0.6189,69.494524,-49.671529,0.864
2023-07-16,0.6477,69.494526,-49.671527,0.9972
2023-07-17,0.5875,69.494519,-49.671529,0.8924
2023-07-18,0.4267,69.494514,-49.671539,0.7457
2023-07-19,0.3281,69.494519,-49.671562,0.9326
2023-07-20,0.3653,69.494517,-49.67157,0.896
2023-07-21,0.4626,69.494514,-49.671568,0.7162
2023-07-22,0.457,69.494519,-49.671583,0.84
2023-07-23,0.438,69.49451,-49.671579,0.7581
2023-07-24,0.4773,69.494513,-49.671596,0.5544
2023-07-25,0.4446,69.494513,-49.671598,0.2871
2023-07-26,0.4181,69.494513,-49.671611,0.1143
2023-07-27,0.3726,69.494509,-49.671614,0.4143
2023-07-28,0.3832,69.49451,-49.671619,0.2867
2023-07-29,0.3977,69.494506,-49.671622,0.6168
2023-07-30,0.3769,69.494506,-49.671627,0.8895
2023-07-31,0.3846,69.494505,-49.671631,0.8004
2023-08-01,0.3904,69.494504,-49.67164,0.2224
2023-08-02,0.4186,69.49451,-49.671643,0.4484
2023-08-03,0.4346,69.494509,-49.671651,0.3412
2023-08-04,0.4566,69.494507,-49.671657,0.2191
2023-08-05,0.4393,69.494503,-49.671654,0.3172
2023-08-06,0.4355,69.494505,-49.671655,0.1155
2023-08-07,0.3944,69.494502,-49.671658,0.0926
2023-08-08,0.4006,69.494501,-49.671664,0.2061
2023-08-09,0.4108,69.494497,-49.671672,0.2155
2023-08-10,0.4027,69.494496,-49.671677,0.6837
2023-08-11,0.3672,69.4945,-49.671681,0.754
2023-08-12,0.3194,69.4945,-49.671685,0.5721
2023-08-13,0.3632,69.494498,-49.671691,0.7263
2023-08-14,0.352,69.494498,-49.671695,0.6217
2023-08-15,0.3194,69.494492,-49.671701,0.9862
2023-08-16,0.3601,69.494491,-49.671708,0.2611
2023-08-17,0.3999,69.494492,-49.671711,0.0686
2023-08-18,0.4126,69.494497,-49.671725,0.2277
2023-08-19,0.3786,69.494493,-49.671722,0.712
2023-08-20,0.2685,69.494492,-49.671732,0.9839
2023-08-21,0.238,69.494489,-49.67173,0.5417
2023-08-22,0.2306,69.494488,-49.671735,0.2909
2023-08-23,0.2452,69.494492,-49.671753,0.5633
2023-08-24,0.2547,69.494485,-49.671745,0.8024
2023-08-25,0.2852,69.494484,-49.671758,0.6331
2023-08-26,0.3131,69.494481,-49.671753,0.5129
2023-08-27,0.5518,69.49448,-49.671757,0.7494
2023-08-28,0.7641,69.49448,-49.67177,0.8163
2023-08-29,0.6654,69.49448,-49.67177,0.966
2023-08-30,0.7266,69.494478,-49.671773,0.9845
2023-08-31,0.8969,69.494484,-49.671776,0.7673
2023-09-01,0.7396,69.494479,-49.671783,0.2709
2023-09-02,0.8216,69.494481,-49.671794,0.912
2023-09-03,0.8511,69.494486,-49.671795,0.9389
2023-09-04,0.7402,69.494479,-49.671789,0.4901
2023-09-05,0.6756,69.494475,-49.67179,0.8449
2023-09-06,0.7901,69.494474,-49.671801,0.9193
2023-09-07,0.7719,69.494479,-49.671808,0.7817
2023-09-08,0.8579,69.494473,-49.671807,0.9087
2023-09-09,0.8164,69.494479,-49.671813,0.8044
2023-09-10,0.7076,69.494475,-49.671819,0.281
2023-09-11,0.7114,69.494478,-49.671831,0.3348
2023-09-12,0.7601,69.494476,-49.671838,0.8031
2023-09-13,0.7672,69.494471,-49.671831,0.6532
2023-09-14,0.7996,69.494473,-49.671833,0.8821
2023-09-15,0.7272,69.494474,-49.671837,0.3401
2023-09-16,0.7988,69.49447,-49.671845,0.8363
2023-09-17,0.8128,69.49447,-49.671858,0.8359
2023-09-18,0.7329,69.494475,-49.671852,0.3677
2023-09-19,0.7313,69.494467,-49.671857,0.2343
2023-09-20,0.726,69.494467,-49.671862,0.2236
2023-09-21,0.7254,69.494468,-49.671861,0.203
2023-09-22,0.7134,69.494461,-49.671865,0.14
2023-09-23,0.7088,69.49446,-49.671869,0.2082
2023-09-24,0.7046,69.494462,-49.671869,0.321
