time,alb_KAN_Lv3,lat_KAN_Lv3,lon_KAN_Lv3,cloud_KAN_Lv3
2023-08-29,0.5917,67.105053,-49.930652,0.8579
2023-08-30,0.5563,67.105048,-49.930663,0.9517
2023-08-31,0.6966,67.105051,-49.930657,0.6471
2023-09-01,0.692,67.105036,-49.930667,0.3036
2023-09-02,0.8032,67.105041,-49.93067,0.8574
2023-09-03,0.8492,67.105047,-49.930668,0.8264
2023-09-04,0.6986,67.105043,-49.93068,0.6949
2023-09-05,0.5447,67.105042,-49.930684,0.7719
2023-09-06,0.5742,67.105042,-49.930683,0.901
2023-09-07,0.9227,67.105046,-49.930702,0.9817
2023-09-08,0.9694,67.105045,-49.930708,0.9959
2023-09-09,0.8046,67.10505,-49.930693,0.6468
2023-09-10,0.8037,67.105047,-49.930694,0.2603
2023-09-11,0.8001,67.10504,-49.93071,0.3699
2023-09-12,0.8367,67.105039,-49.930719,0.6513
2023-09-13,0.7723,67.105034,-49.930722,0.4963
2023-09-14,0.6321,67.105033,-49.930726,0.3021
2023-09-15,0.6505,67.105039,-49.930733,0.3744
2023-09-16,0.9993,67.105033,-49.930734,0.7878
2023-09-17,0.8619,67.105037,-49.930749,0.7463
2023-09-18,0.8106,67.105036,-49.930736,0.4307
2023-09-19,0.8016,67.105034,-49.93074,0.2699
2023-09-20,0.798,67.105029,-49.930746,0.2829
2023-09-21,0.7442,67.105037,-49.93075,0.5476
2023-09-22,0.7733,67.105039,-49.930752,0.5359
2023-09-23,0.6524,67.105035,-49.930758,0.0872
2023-09-24,0.6458,67.105032,-49.930764,0.242
2023-09-25,0.8387,67.105037,-49.930766,0.9957
2023-09-26,0.9318,67.105031,-49.930758,0.9973
2023-09-27,0.8631,67.10503,-49.930778,0.8896
2023-09-28,0.8677,67.105032,-49.930775,0.859
2023-09-29,0.8273,67.105026,-49.930791,0.9
