time,alb_NSE,lat_NSE,lon_NSE,cloud_NSE
2021-06-19,0.7188,66.477786,-42.493654,0.3689
2021-06-20,0.8585,66.477781,-42.493658,0.7921
2021-06-21,0.7521,66.477779,-42.493661,0.1666
2021-06-22,0.7149,66.47778,-42.493663,0.0979
2021-06-23,0.898,66.477778,-42.493659,0.7104
2021-06-24,0.9447,66.477777,-42.49366,0.9976
2021-06-25,0.8368,66.477777,-42.493664,0.5498
2021-06-26,0.7974,66.477778,-42.493657,0.5936
2021-06-27,0.8343,66.477778,-42.493656,0.6136
2021-06-28,0.9041,66.477779,-42.493656,0.9602
2021-06-29,0.8246,66.477777,-42.493653,0.581
2021-06-30,0.752,66.477775,-42.493654,0.1944
2021-07-01,0.7359,66.477777,-42.493648,0.1694
2021-07-02,0.7929,66.477778,-42.493655,0.5536
2021-07-03,0.7918,66.477775,-42.493656,0.6751
2021-07-04,0.8025,66.477775,-42.493649,0.6677
2021-07-05,0.7947,66.477776,-42.493651,0.4938
2021-07-06,0.8545,66.477776,-42.493646,0.5237
2021-07-07,0.7736,66.477779,-42.493654,0.4604
2021-07-08,0.7502,66.477773,-42.49365,0.2146
2021-07-09,0.8882,66.477773,-42.493649,0.903
2021-07-10,0.8743,66.477775,-42.493647,0.9149
2021-07-11,0.8754,66.477774,-42.493647,0.9502
2021-07-12,0.8876,66.477773,-42.493649,0.9072
2021-07-13,0.8037,66.477775,-42.493642,0.6279
2021-07-14,0.9101,66.477773,-42.493645,0.8018
2021-07-15,0.7426,66.477775,-42.493644,0.1401
2021-07-16,0.7421,66.47777,-42.493644,0.0502
2021-07-17,0.7472,66.477772,-42.49364,0.4971
2021-07-18,0.8084,66.47777,-42.493638,0.8506
2021-07-19,0.8644,66.477771,-42.493638,0.9813
2021-07-20,0.7796,66.477773,-42.493633,0.5594
2021-07-21,0.8471,66.477772,-42.493636,0.6117
2021-07-22,0.7983,66.477772,-42.493634,0.6127
2021-07-23,0.7966,66.477769,-42.493632,0.6515
2021-07-24,0.8658,66.477769,-42.493634,0.6964
2021-07-25,0.7484,66.477769,-42.493631,0.127
2021-07-26,0.7441,66.477768,-42.493632,0.3066
2021-07-27,0.7376,66.477769,-42.49363,0.4744
2021-07-28,0.7092,66.477768,-42.493631,0.0992
2021-07-29,0.7126,66.477768,-42.49363,0.2665
2021-07-30,0.7071,66.477767,-42.493628,0.3974
2021-07-31,0.7579,66.477766,-42.493627,0.6284
2021-08-01,0.6992,66.477769,-42.493625,0.2084
2021-08-02,0.8359,66.477769,-42.493625,0.8753
2021-08-03,0.7597,66.477768,-42.493619,0.6879
2021-08-04,0.849,66.477768,-42.493624,0.8309
2021-08-05,0.7247,66.477766,-42.493627,0.5554
2021-08-06,0.8076,66.477768,-42.493622,0.812
2021-08-07,0.7696,66.477767,-42.493621,0.4908
2021-08-08,0.9234,66.477766,-42.493617,0.9573
2021-08-09,0.7358,66.477763,-42.493619,0.846
2021-08-10,0.9574,66.477767,-42.493619,0.9152
2021-08-11,0.9488,66.477766,-42.493622,0.8955
2021-08-12,0.7183,66.477765,-42.493617,0.3293
2021-08-13,0.7377,66.477769,-42.493619,0.4818
2021-08-14,0.8387,66.477764,-42.493614,0.8932
2021-08-15,0.6989,66.477765,-42.493615,0.5588
2021-08-16,0.7357,66.477763,-42.493613,0.7152
2021-08-17,0.8367,66.477764,-42.493608,0.732
2021-08-18,0.8004,66.477767,-42.493611,0.9138
2021-08-19,0.7152,66.477765,-42.493606,0.6952
2021-08-20,0.8307,66.477765,-42.493611,0.9038
2021-08-21,0.8587,66.477763,-42.493611,0.9185
2021-08-22,0.6329,66.477762,-42.493606,0.4771
2021-08-23,0.5893,66.477762,-42.493609,0.4606
2021-08-24,0.849,66.477762,-42.493606,0.8771
2021-08-25,0.8583,66.477765,-42.49361,0.9249
2021-08-26,0.8487,66.477765,-42.49361,0.8612
2021-08-27,0.867,66.477763,-42.493607,0.8599
2021-08-28,0.6976,66.477762,-42.493606,0.4269
2021-08-29,0.6447,66.477762,-42.493604,0.7236
2021-08-30,0.6439,66.477762,-42.493605,0.3574
2021-08-31,0.8274,66.477763,-42.493605,0.8145
2021-09-01,0.9821,66.477761,-42.493604,0.9178
2021-09-02,0.9729,66.47776,-42.4936,0.9448
2021-09-03,0.9365,66.47776,-42.493603,0.7345
2021-09-04,0.6665,66.477759,-42.493599,0.1541
2021-09-05,0.8924,66.477762,-42.493602,0.5426
2021-09-06,0.6737,66.477758,-42.493602,0.3579
2021-09-07,0.8601,66.477759,-42.493598,0.4218
2021-09-08,0.783,66.477759,-42.493597,0.5347
2021-09-09,0.7255,66.477761,-42.493596,0.5144
2021-09-10,0.6338,66.47776,-42.493599,0.3641
2021-09-11,0.829,66.47776,-42.493596,0.7209
2021-09-12,0.8814,66.477759,-42.493595,0.9808
2021-09-13,0.908,66.477759,-42.493598,0.8898
2021-09-14,0.8322,66.477761,-42.493588,0.6536
2021-09-15,0.6414,66.477756,-42.493596,0.3338
2021-09-16,0.5855,66.477759,-42.493588,0.44
2021-09-17,0.6723,66.477758,-42.493593,0.3877
2021-09-18,0.6625,66.477758,-42.493588,0.2671
2021-09-19,0.5976,66.477756,-42.493587,0.4198
2021-09-20,0.6733,66.477757,-42.493593,0.5428
2021-09-21,0.7893,66.477754,-42.493583,0.3894
2021-09-22,0.8127,66.477754,-42.493586,0.288
2021-09-23,0.6403,66.477755,-42.493589,0.4564
2021-09-24,0.7442,66.477757,-42.493582,0.4082
2021-09-25,0.6516,66.477756,-42.493587,0.4697
2021-09-26,0.4757,66.477755,-42.493584,0.784
2021-09-27,0.6153,66.477756,-42.493582,0.3713
2021-09-28,0.5954,66.477754,-42.493582,0.3515
2021-09-29,0.7376,66.477755,-42.493578,0.5189
2021-09-30,0.7413,66.477756,-42.49358,0.3478
2023-06-10,0.8477,66.477583,-42.493223,0.6249
2023-06-11,0.8617,66.477594,-42.493232,0.7355
2023-06-12,0.8376,66.477586,-42.493212,0.773
2023-06-13,0.929,66.477586,-42.493209,0.9753
2023-06-14,0.942,66.477581,-42.493227,0.9838
2023-06-15,0.9213,66.477585,-42.493239,0.9001
2023-06-16,0.8265,66.477574,-42.493227,0.2871
2023-06-17,0.8186,66.477586,-42.493218,0.0796
2023-06-18,0.814,66.477591,-42.493218,0.2247
2023-06-19,0.8235,66.477587,-42.493208,0.2016
2023-06-20,0.8257,66.477589,-42.493216,0.5439
2023-06-21,0.9038,66.477584,-42.493226,0.8664
2023-06-22,0.8918,66.477595,-42.493217,0.914
2023-06-23,0.8671,66.477581,-42.49321,0.7163
2023-06-24,0.8937,66.477585,-42.4932,0.914
2023-06-25,0.9096,66.477581,-42.493225,0.9175
2023-06-26,0.8878,66.477588,-42.493212,0.7966
2023-06-27,0.8941,66.47758,-42.49322,0.7854
2023-06-28,0.8447,66.477587,-42.493209,0.4534
2023-06-29,0.8395,66.477585,-42.49321,0.4325
2023-06-30,0.8777,66.477574,-42.493205,0.8248
2023-07-01,0.8517,66.477575,-42.493197,0.6298
2023-07-02,0.8725,66.477581,-42.493206,0.5822
2023-07-03,0.7859,66.477582,-42.493209,0.3206
2023-07-04,0.8289,66.477581,-42.493211,0.2056
2023-07-05,0.8299,66.477585,-42.493208,0.7686
2023-07-06,0.8594,66.477583,-42.493215,0.8954
2023-07-07,0.7797,66.477573,-42.493202,0.6473
2023-07-08,0.7735,66.477577,-42.493194,0.43
2023-07-09,0.7681,66.477578,-42.493195,0.2584
2023-07-10,0.763,66.477591,-42.49321,0.234
2023-07-11,0.8257,66.47759,-42.493192,0.7286
2023-07-12,0.7487,66.477596,-42.493194,0.3577
2023-07-13,0.7644,66.477582,-42.493193,0.2322
2023-07-14,0.8294,66.477587,-42.4932,0.7941
2023-07-15,0.8598,66.477587,-42.493209,0.8145
2023-07-16,0.8103,66.477594,-42.49319,0.7647
2023-07-17,0.7863,66.47759,-42.493201,0.8604
2023-07-18,0.8128,66.47759,-42.493198,0.966
2023-07-19,0.8375,66.477589,-42.493198,0.9898
2023-07-20,0.8234,66.477591,-42.493193,0.8429
2023-07-21,0.8578,66.477591,-42.493193,0.8081
2023-07-22,0.79,66.477584,-42.49319,0.366
2023-07-23,0.7864,66.477583,-42.493191,0.2179
2023-07-24,0.7927,66.477576,-42.49318,0.3951
2023-07-25,0.8699,66.477579,-42.493184,0.6813
2023-07-26,0.8774,66.477579,-42.493191,0.8967
2023-07-27,0.8148,66.477578,-42.493188,0.2106
2023-07-28,0.8315,66.477578,-42.493169,0.5748
2023-07-29,0.8615,66.477576,-42.493187,0.8886
2023-07-30,0.86,66.477584,-42.493198,0.7847
2023-07-31,0.8408,66.477583,-42.493181,0.5134
2023-08-01,0.8599,66.477574,-42.493188,0.6141
2023-08-02,0.8373,66.477578,-42.493191,0.5121
2023-08-03,0.8446,66.477585,-42.493192,0.6582
2023-08-04,0.8528,66.477585,-42.493186,0.42
2023-08-05,0.8294,66.477576,-42.49317,0.2416
2023-08-06,0.8194,66.477575,-42.493177,0.2657
2023-08-07,0.8221,66.47757,-42.493162,0.3558
2023-08-08,0.8186,66.477573,-42.493178,0.4652
2023-08-09,0.8493,66.477568,-42.493167,0.8281
2023-08-10,0.8585,66.477574,-42.493181,0.7905
2023-08-11,0.8196,66.47757,-42.493186,0.3193
2023-08-12,0.8115,66.477565,-42.493184,0.1382
2023-08-13,0.8217,66.477568,-42.493163,0.493
2023-08-14,0.7922,66.477575,-42.493174,0.4493
2023-08-15,0.7835,66.477569,-42.493181,0.141
2023-08-16,0.7474,66.477563,-42.493184,0.3029
2023-08-17,0.7752,66.477566,-42.493167,0.2302
2023-08-18,0.7203,66.477573,-42.493166,0.3771
2023-08-19,0.812,66.477555,-42.493177,0.3862
2023-08-20,0.7935,66.477568,-42.493181,0.809
2023-08-21,0.7405,66.477566,-42.49318,0.4273
2023-08-22,0.7406,66.477561,-42.493171,0.155
2023-08-23,0.7527,66.477569,-42.493156,0.3089
2023-08-24,0.9141,66.477564,-42.493171,0.9672
2023-08-25,0.7618,66.477551,-42.493168,0.4086
2023-08-26,0.8068,66.477562,-42.493166,0.509
2023-08-27,0.7843,66.477567,-42.493177,0.1801
2023-08-28,0.8348,66.477549,-42.49315,0.53
2023-08-29,0.8267,66.477559,-42.49317,0.5763
2023-08-30,0.9008,66.477566,-42.493153,0.9607
2023-08-31,0.9006,66.477564,-42.493146,0.938
2023-09-01,0.9233,66.477565,-42.493173,0.9731
2023-09-02,0.929,66.477563,-42.493143,0.9501
2023-09-03,0.8877,66.477568,-42.493137,0.478
2023-09-04,0.9366,66.477574,-42.493146,0.635
2023-09-05,0.895,66.477569,-42.493147,0.8646
2023-09-06,0.844,66.477574,-42.493146,0.5802
2023-09-07,0.882,66.477571,-42.493143,0.8732
2023-09-08,0.8481,66.477555,-42.493133,0.2916
2023-09-09,0.8555,66.477567,-42.49316,0.1814
2023-09-10,0.8541,66.47756,-42.493149,0.2332
2023-09-11,0.8507,66.477554,-42.49315,0.3647
2023-09-12,0.8502,66.477555,-42.493181,0.3634
2023-09-13,0.7951,66.477548,-42.493162,0.4843
2023-09-14,0.9493,66.47756,-42.493158,0.928
2023-09-15,0.7826,66.477564,-42.49314,0.9958
2023-09-16,0.9146,66.477553,-42.493151,0.9142
2023-09-17,0.88,66.477556,-42.493146,0.7958
2023-09-18,0.8811,66.477557,-42.493131,0.3746
2023-09-19,0.881,66.477554,-42.493142,0.4866
2023-09-20,0.8743,66.477546,-42.493147,0.4205
2023-09-21,0.6187,66.477559,-42.493148,0.6139
